sample,species,control,is_bee,no_colonies,no_types_colonies
1AB1,Bombus pascuorum,0,1,0,0
1AB2,Bombus pascuorum,0,1,0,0
1AB3,Apis mellifera,0,1,0,0
1AB4,Bombus hortorum,0,1,0,0
1AF1,Glechoma hederacea,1,0,1,1
1AF10,Glechoma hederacea,0,0,0,0
1AF2,Glechoma hederacea,1,0,0,0
1AF3,Pentaglottis sempervirens,1,0,6,3
1AF4,Pentaglottis sempervirens,1,0,1,1
1AF5,Veronica chamaedrys,1,0,0,0
1AF6,Myosotis arvensis,1,0,1,1
1AF7,Trifolium repens,0,0,9,2
1AF8,Lotus corniculatus,0,0,40,2
1AF9,Vicia sativa,0,0,0,0
1BB1,Apis mellifera,0,1,9,1
1BB2,Bombus hortorum,0,1,0,0
1BB3,Bombus pascuorum,0,1,0,0
1BF1,Veronica chamaedrys,0,0,0,0
1BF2,Veronica chamaedrys,0,0,0,0
1BF3,Cirsium palustre,0,0,0,0
1BF4,Cirsium palustre,0,0,0,0
1BF5,Cirsium palustre,1,0,30,4
1BF6,Veronica chamaedrys,1,0,0,0
1BF7,Stellaria graminea,1,0,0,0
2AF1,Trifolium repens,1,0,209,2
2AF2,Vicia sativa,1,0,0,0
2BF1,Veronica chamaedrys,1,0,0,0
2BF10,Ranunculus acris,1,0,0,0
2BF2,Veronica chamaedrys,1,0,0,0
2BF3,Veronica chamaedrys,1,0,0,0
2BF4,Stellaria graminea,1,0,0,0
2BF5,Stellaria graminea,1,0,0,0
2BF6,Stellaria graminea,1,0,0,0
2BF7,Cirsium palustre,1,0,8,6
2BF8,Cirsium palustre,1,0,235,4
2BF9,Ranunculus acris,1,0,0,0
3AB1,Apis mellifera,0,1,0,0
3AB2,Osmia caerulescens,0,1,0,0
3AB3,Bombus terrestris/lucorum,0,1,0,0
3AB4,Bombus pascuorum,0,1,0,0
3AB5,Apis mellifera,0,1,0,0
3AB6,Bombus pratorum,0,1,0,0
3AF1,Pentaglottis sempervirens,0,0,0,0
3AF2,Trifolium repens,0,0,1,1
3AF3,Rubus fruticosus,0,0,1,1
3AF4,Rubus fruticosus,0,0,0,0
3AF5,Rubus fruticosus,0,0,1,1
3AF6,Rubus fruticosus,0,0,0,0
3BB1,Apis mellifera,0,1,0,0
3BB2,Apis mellifera,0,1,0,0
3BB3,Bombus terrestris/lucorum,0,1,0,0
3BB4,Bombus pascuorum,0,1,3,1
3BB5,Bombus terrestris/lucorum,0,1,0,0
3BF1,Rubus fruticosus,0,0,0,0
3BF2,Rubus fruticosus,0,0,0,0
3BF3,Cirsium palustre,0,0,0,0
3BF4,Cirsium palustre,0,0,0,0
3BF5,Cirsium palustre,0,0,24,6
4AB1,Bombus pascuorum,0,1,1,1
4AB2,Megachile willughbiella,0,1,0,0
4AB3,Apis mellifera,0,1,1,1
4AB4,Megachile centecularis,0,1,0,0
4AB5,Apis mellifera,0,1,1,1
4AB6,Apis mellifera,0,1,0,0
4AB7,Apis mellifera,0,1,0,0
4AB8,Bombus pascuorum,0,1,1,1
4AB9,Bombus pascuorum,0,1,0,0
4AF1,Lotus corniculatus,0,0,2,2
4AF10,Cirsium vulgare,0,0,0,0
4AF11,Jacobaea vulgaris,0,0,1,1
4AF12,Jacobaea vulgaris,0,0,1,1
4AF13,Jacobaea vulgaris,0,0,1,1
4AF14,Lotus corniculatus,0,0,2,2
4AF15,Carex spicata,0,0,5,2
4AF2,Jacobaea vulgaris,0,0,2,2
4AF3,Jacobaea vulgaris,0,0,1,1
4AF4,Jacobaea vulgaris,1,0,1,1
4AF5,Jacobaea vulgaris,1,0,1,1
4AF6,Jacobaea vulgaris,1,0,0,0
4AF7,Lotus corniculatus,1,0,1,1
4AF8,Lotus corniculatus,1,0,2,2
4AF9,Lotus corniculatus,1,0,1,1
4BB1,Apis mellifera,0,1,0,0
4BB2,Bombus terrestris/lucorum,0,1,0,0
4BB3,Bombus pascuorum,0,1,2,1
4BB4,Apis mellifera,0,1,1,1
4BB5,Apis mellifera,0,1,0,0
4BB6,Bombus pascuorum,0,1,0,0
4BB7,Apis mellifera,0,1,1,1
4BB8,Bombus terrestris/lucorum,0,1,0,0
4BB9,Bombus terrestris/lucorum,0,1,0,0
4BF1,Rubus fruticosus,0,0,0,0
4BF2,Cirsium palustre,0,0,0,0
4BF3,Cirsium palustre,0,0,25,4
